"id","ch"
1,"0010001000000"
2,"0010011111001"
3,"0010010000000"
4,"0010110000011"
6,"0010001000011"
8,"0010000010000"
10,"0010000000000"
11,"0010000000000"
12,"0010000000000"
13,"0010010000000"
14,"0010000100000"
15,"0010000000000"
16,"0010000000000"
17,"0010000000000"
18,"0010000000000"
26,"0001000000000"
27,"0001000000000"
28,"0001000000000"
29,"0001000000000"
30,"0001000000000"
33,"0001000000000"
34,"0001000000000"
35,"0001000000000"
36,"0001000000000"
37,"0001000000000"
38,"0001000000000"
39,"0101111001000"
40,"0001000000000"
41,"0001000110000"
42,"0001000000000"
43,"0001100000000"
45,"0001000000000"
46,"0001000000000"
47,"0001110111000"
48,"0001000000000"
49,"0001000000000"
50,"0001000000000"
51,"0001000000000"
52,"0001000000100"
53,"0001000000000"
55,"0001001010000"
57,"0001000000100"
58,"0001000000000"
59,"0001000000000"
60,"0001001000000"
61,"0001000000000"
62,"0001000000000"
63,"0001000000000"
64,"0001000000000"
65,"0001000000000"
67,"0001000000000"
68,"0001000000000"
100,"0000100000000"
101,"0000100000000"
103,"0001010000000"
104,"0001010110000"
105,"0001000000000"
107,"0001000000000"
108,"0001000000000"
109,"0001000000000"
110,"0001000010000"
111,"0001000000000"
115,"0001000000000"
116,"0001000000000"
117,"0001000000000"
119,"0001000000000"
122,"0001000000000"
123,"0001000000000"
124,"0001000000000"
140,"0000100000000"
141,"0000100010001"
142,"0000100000110"
143,"0000100000000"
144,"0000100000011"
145,"0000100000100"
146,"0000100000000"
147,"0000100000000"
148,"0000100000100"
149,"0000100000000"
150,"0000100000000"
151,"0000100000000"
152,"0000100010000"
153,"0000100010000"
154,"0000100000000"
155,"0000100000000"
156,"0000100000000"
157,"0000100000000"
158,"0010100000000"
159,"0000100000000"
160,"0000110000000"
161,"0000100000000"
162,"0000100010100"
163,"0000100000000"
164,"0000100000000"
165,"0000100000000"
166,"0000100000000"
169,"0000100000000"
170,"0000100000000"
171,"0000100000000"
172,"0000100000000"
173,"0000110000000"
174,"0000100010001"
175,"0000100000000"
176,"0000100000000"
179,"0000100001000"
180,"0000100000010"
181,"0000100010000"
182,"0000100000000"
183,"0000100000000"
185,"0000100000000"
189,"0000100000100"
190,"0000100000000"
191,"0000100100100"
192,"0000100000000"
194,"0000100000000"
196,"0000100000000"
197,"0000100000000"
198,"0000100000000"
199,"0000100000000"
200,"0000100000000"
201,"0000100000000"
202,"0000100000000"
204,"0000100000000"
205,"0000100000000"
218,"0000100000000"
219,"0000110010000"
220,"0000100010000"
221,"0000100000000"
222,"0000100000000"
223,"1010100110100"
224,"0000100010000"
225,"0000100000000"
226,"0000101000100"
227,"0000100000000"
228,"0000100000000"
229,"0000100000000"
231,"0000100000000"
232,"0000100000000"
233,"0000100000000"
234,"0000100001000"
235,"0000100000000"
236,"0000100000000"
237,"0000101000000"
238,"0000100000000"
239,"0000100111100"
242,"0000100000000"
244,"0000101110000"
245,"0000100000000"
246,"0000100000000"
248,"0000100000000"
249,"0001000000000"
251,"0000100000000"
252,"0000100000000"
254,"0000100000000"
255,"0000100000000"
256,"0000100000000"
257,"0000100000001"
259,"0000100000000"
261,"0000101000000"
262,"0000100000000"
263,"0000100000000"
264,"0000100000000"
266,"0000100100000"
267,"0000100000000"
268,"0000100000000"
270,"0000110000000"
271,"0000100000000"
273,"0000110000000"
274,"0000100000000"
275,"0000100000000"
276,"0000100000000"
277,"0000110000000"
279,"0000100000000"
280,"0000100000000"
281,"0000100100000"
282,"0000100000000"
284,"0000100010000"
285,"0000100000000"
286,"0000100010000"
287,"0000100000000"
288,"0000100000000"
289,"0000100000000"
290,"0000100010000"
291,"0000100000000"
292,"0000101000000"
293,"0000100000000"
294,"0000100000000"
295,"0000100000000"
296,"0000100000000"
298,"0000100000000"
299,"0000100010000"
301,"0000110000100"
302,"0000110000000"
303,"0000100000000"
305,"0000100110000"
306,"0000100000000"
308,"0000101011000"
312,"0000100000000"
313,"0000100000000"
315,"0000100000000"
319,"0000000100000"
322,"0000100000000"
324,"0000100000000"
327,"0000010000000"
328,"0000010100000"
329,"0000010100000"
330,"0000010000000"
331,"0000010000000"
332,"0000010000000"
333,"0000010000000"
334,"0000011000000"
335,"0000010000000"
336,"0000010111100"
337,"0000010000000"
338,"0000010000000"
339,"0000010000000"
340,"0000010000000"
341,"0000010000000"
342,"0000010000000"
343,"0000010000000"
344,"0000010100000"
345,"0000010000000"
346,"0000010001000"
348,"0000010000000"
349,"0000010000000"
350,"0000010000000"
351,"0000010000000"
352,"0000010000001"
353,"0000010000000"
354,"0000010000000"
356,"0000010000000"
357,"0000010000000"
358,"0000010000000"
359,"0000010010011"
361,"0000010100000"
363,"0000010000000"
364,"0000010101001"
365,"0000010010000"
366,"0000010000010"
367,"0000010010000"
368,"0000010000000"
369,"0000010000000"
370,"0000010000000"
371,"0000010001010"
374,"0000010000000"
378,"0000010110000"
379,"0000010000000"
380,"0000010001000"
382,"0000010000000"
384,"0000010000000"
385,"0000010000000"
386,"0000010000000"
388,"0000010000000"
389,"0000010000000"
390,"0000010000000"
392,"0000010000000"
393,"0000010000000"
394,"0000010000000"
395,"0000010000000"
396,"0000010000000"
397,"0000010000100"
398,"0000010000000"
399,"0000010000000"
400,"0000010000000"
401,"0000010000000"
402,"0000010110010"
403,"0000010000000"
404,"0000010000000"
405,"0000010000000"
406,"0000010000000"
407,"0000010000000"
408,"0000010000000"
409,"0000010000000"
410,"0000010000000"
411,"0000010000000"
412,"0000010010000"
414,"0000010000000"
415,"0000011100110"
416,"0000010000000"
417,"0000010010000"
418,"0000010000000"
419,"0000010000000"
420,"0000010000000"
421,"0000010000010"
422,"0000010000000"
424,"0000010000000"
425,"0000010000000"
426,"0001011000000"
427,"0000010000000"
428,"0000010000000"
429,"0000010000000"
430,"0000010000000"
431,"0000010000000"
434,"0000010000000"
435,"0000010000000"
436,"0000010000000"
437,"0000010000000"
438,"0000010000000"
439,"0000010000000"
440,"0000010000000"
441,"0000010000010"
442,"0000010000000"
444,"0000010000000"
445,"0100000000000"
446,"0100000000000"
447,"0100000000000"
448,"0100001100100"
449,"0100000000000"
450,"0010001011000"
451,"0010000000000"
452,"0001000000000"
454,"0001000000000"
455,"0001000000000"
456,"0100000000000"
457,"0000001000000"
458,"0000010000000"
489,"0000001000001"
492,"0000001000000"
493,"0000001000000"
494,"0000001000000"
496,"0000001000000"
498,"0000001100000"
499,"0000001000000"
500,"0000001000000"
501,"0000001000000"
502,"0000001000000"
503,"0000001000000"
504,"0000001000000"
505,"0000001000000"
506,"0000001000100"
507,"0000001000000"
508,"0000001000000"
509,"0000001000000"
510,"0000001000000"
511,"0000001000000"
512,"0000001000000"
513,"0000001000000"
514,"0000001100001"
515,"0000001000000"
516,"0000001000000"
517,"0000001000000"
520,"0000001000000"
521,"0000001000000"
525,"0000001000000"
526,"0000001000000"
527,"0000001000000"
528,"0000001000000"
530,"0000001000100"
531,"0000001000001"
532,"0000001000000"
534,"0000001000000"
535,"0000001000000"
536,"0000001000000"
537,"0000001000000"
538,"0000001000000"
539,"0000001000000"
540,"0000001000000"
546,"0000001100000"
547,"0000001000000"
548,"0000001000000"
549,"0000001000000"
552,"0000001000000"
553,"0000001000000"
554,"0000001000000"
555,"0000001000000"
556,"0000001000000"
557,"0000001000000"
558,"0000001000000"
559,"0000001000000"
561,"0000001000000"
563,"0000001000000"
564,"0000101010000"
565,"0000001000000"
567,"0000001000000"
569,"0000001000000"
570,"0000001000100"
571,"0000001000000"
572,"0000001000000"
573,"0000001000000"
575,"0000001000000"
576,"0000001000000"
577,"0000001000000"
578,"0000001000000"
579,"0000001000000"
580,"0000001000000"
581,"0000001000000"
582,"0000001000000"
583,"0000001000000"
584,"0000001000000"
586,"0000001000000"
587,"0000001000000"
588,"0000001000000"
589,"0000001010010"
590,"0000001011000"
591,"0000001000000"
594,"0000001000000"
595,"0000001000000"
596,"0000001000000"
597,"0000001001000"
598,"0000001000000"
600,"0000001000000"
603,"0000001000000"
605,"0000001000000"
607,"0000001000000"
610,"0000001000000"
615,"0000001000100"
620,"0000001000000"
621,"0000001000000"
622,"0000001000000"
623,"0000001000000"
627,"0000001000000"
629,"0000001000000"
633,"0000001000000"
636,"0000001000000"
638,"0000001000000"
639,"0000001000010"
640,"0000001000000"
641,"0000001000000"
642,"0000001000000"
643,"0000001000000"
645,"0000001100000"
648,"0000001000000"
650,"0000001000000"
651,"0000001010010"
652,"0000001000001"
653,"0000001001000"
654,"0000001000000"
655,"0000001010001"
657,"0000001000000"
659,"0000001000000"
662,"0000001000000"
663,"0000001000000"
664,"0000001000000"
665,"0000001100010"
666,"0000100000000"
667,"0000010000000"
689,"0100000000000"
690,"0000000100000"
691,"0000010000000"
692,"0000001000000"
693,"0000000100000"
700,"0000000100000"
701,"0000000100000"
703,"0000000100000"
704,"0000000100000"
705,"0000000100000"
706,"0000000100000"
707,"0000000100000"
708,"0000000100000"
709,"0000000100000"
710,"0000000100000"
